Time (sec),X,Y
0.770833,0.295200,0.217200
0.775000,0.295800,0.212400
0.779167,0.296400,0.207000
0.783333,0.297000,0.201600
0.787500,0.297000,0.195000
0.791667,0.297000,0.189000
0.795833,0.296400,0.184800
0.800000,0.296400,0.180600
0.804167,0.295800,0.176400
0.808333,0.296400,0.172200
0.812500,0.296400,0.167400
0.816667,0.297000,0.163200
0.820833,0.297000,0.158400
0.825000,0.297600,0.153000
0.829167,0.297600,0.148800
0.833333,0.297600,0.145200
0.837500,0.296400,0.142200
0.841667,0.297000,0.139200
0.845833,0.297600,0.135600
0.850000,0.298800,0.131400
0.854167,0.299400,0.126600
0.858333,0.299400,0.121800
0.862500,0.298200,0.118800
0.866667,0.298800,0.116400
0.870833,0.298800,0.114000
0.875000,0.299400,0.111600
0.879167,0.300000,0.109200
0.883333,0.300600,0.106200
0.887500,0.301200,0.102600
0.891667,0.301200,0.099600
0.895833,0.301200,0.097800
0.900000,0.301200,0.094800
0.904167,0.300600,0.094200
0.908333,0.300600,0.093000
0.912500,0.301800,0.090600
0.916667,0.303000,0.087600
0.920833,0.303000,0.084600
0.925000,0.303000,0.082200
0.929167,0.303000,0.081600
0.933333,0.302400,0.082200
0.937500,0.303000,0.083400
0.941667,0.304200,0.086400
0.945833,0.304800,0.089400
0.950000,0.305400,0.093000
0.954167,0.306000,0.097200
0.958333,0.306600,0.102000
0.962500,0.307200,0.108000
0.966667,0.307200,0.114000
0.970833,0.308400,0.120000
0.975000,0.307800,0.126600
0.979167,0.308400,0.133200
0.983333,0.309600,0.139200
0.987500,0.311400,0.144000
0.991667,0.312600,0.148200
0.995833,0.312600,0.152400
1.000000,0.312600,0.156600
1.004167,0.312600,0.162000
1.008333,0.312600,0.167400
1.012500,0.312600,0.172200
1.016667,0.313800,0.177000
1.020833,0.314400,0.181200
1.025000,0.315600,0.186000
1.029167,0.316800,0.188400
1.033333,0.316800,0.192600
1.037500,0.317400,0.195600
1.041667,0.317400,0.198600
1.045833,0.318000,0.202200
1.050000,0.317400,0.205800
1.054167,0.318000,0.210000
1.058333,0.319800,0.213000
1.062500,0.319800,0.216000
1.066667,0.321600,0.218400
1.070833,0.322200,0.220800
1.075000,0.322200,0.222600
1.079167,0.322200,0.225000
1.083333,0.322200,0.228600
1.087500,0.321600,0.232200
1.091667,0.322200,0.237000
1.095833,0.323400,0.240000
1.100000,0.324000,0.243000
1.104167,0.325200,0.246600
1.108333,0.325200,0.250200
1.112500,0.325800,0.253800
1.116667,0.325800,0.258600
1.120833,0.326400,0.263400
1.125000,0.326400,0.268200
1.129167,0.327000,0.273000
1.133333,0.327000,0.278400
1.137500,0.327600,0.283800
1.141667,0.328200,0.289200
1.145833,0.328800,0.294600
1.150000,0.330000,0.300000
1.154167,0.330000,0.304200
1.158333,0.331200,0.307800
1.162500,0.331800,0.312600
1.166667,0.331800,0.316800
1.170833,0.331200,0.321600
1.175000,0.331200,0.326400
1.179167,0.331200,0.331800
1.183333,0.331800,0.337200
1.187500,0.332400,0.342000
1.191667,0.333000,0.346200
1.195833,0.334800,0.349800
1.200000,0.335400,0.354000
1.204167,0.335400,0.358200
1.208333,0.335400,0.361800
1.212500,0.335400,0.366600
1.216667,0.335400,0.371400
1.220833,0.336000,0.376200
1.225000,0.336000,0.381000
1.229167,0.336000,0.385800
1.233333,0.336000,0.390600
1.237500,0.336600,0.396000
1.241667,0.336600,0.400800
1.245833,0.337800,0.406200
1.250000,0.339000,0.409800
1.254167,0.339600,0.414600
1.258333,0.339600,0.418800
1.262500,0.339600,0.421800
1.266667,0.340200,0.426600
1.270833,0.340200,0.429600
1.275000,0.339600,0.434400
1.279167,0.339600,0.439200
1.283333,0.339000,0.442800
1.287500,0.339600,0.447600
1.291667,0.339600,0.452400
1.295833,0.340200,0.457200
1.300000,0.341400,0.460800
1.304167,0.341400,0.463800
1.308333,0.342000,0.468000
1.312500,0.342600,0.471600
1.316667,0.342600,0.475800
1.320833,0.342000,0.480600
1.325000,0.342000,0.484200
1.329167,0.342000,0.489600
1.333333,0.342000,0.493800
1.337500,0.342000,0.498600
1.341667,0.342000,0.502800
1.345833,0.342600,0.505800
1.350000,0.342600,0.510600
1.354167,0.342000,0.514800
1.358333,0.342000,0.519000
1.362500,0.342600,0.522000
1.366667,0.342600,0.526200
1.370833,0.343200,0.529800
1.375000,0.343200,0.534000
1.379167,0.343800,0.537000
1.383333,0.343800,0.540000
1.387500,0.343800,0.543600
1.391667,0.344400,0.546600
1.395833,0.344400,0.549600
1.400000,0.343800,0.553200
1.404167,0.343800,0.556800
1.408333,0.343200,0.559800
1.412500,0.343200,0.564000
1.416667,0.343200,0.567000
1.420833,0.342600,0.571800
1.425000,0.342600,0.574800
1.429167,0.342000,0.579000
1.433333,0.342000,0.582600
1.437500,0.342000,0.586200
1.441667,0.342000,0.588000
1.445833,0.342600,0.591600
1.450000,0.342600,0.594600
