Time (sec),X,Y
0.770833,0.285714,0.222286
0.775000,0.296571,0.206286
0.779167,0.297714,0.192000
0.783333,0.290857,0.173714
0.787500,0.279429,0.168000
0.791667,0.269143,0.170857
0.795833,0.265143,0.180000
0.800000,0.270857,0.186857
0.804167,0.283429,0.184571
0.808333,0.294286,0.172571
0.812500,0.298286,0.156000
0.816667,0.294286,0.139429
0.820833,0.281714,0.132000
0.825000,0.271429,0.134286
0.829167,0.265714,0.143429
0.833333,0.270286,0.150857
0.837500,0.281714,0.151429
0.841667,0.294286,0.141143
0.845833,0.300000,0.126286
0.850000,0.297143,0.110286
0.854167,0.285143,0.101714
0.858333,0.272000,0.106286
0.862500,0.267429,0.116000
0.866667,0.272571,0.124571
0.870833,0.284571,0.124571
0.875000,0.297143,0.113714
0.879167,0.302286,0.096571
0.883333,0.297143,0.084571
0.887500,0.285714,0.079429
0.891667,0.271429,0.086857
0.895833,0.268571,0.096000
0.900000,0.275429,0.105143
0.904167,0.286857,0.104571
0.908333,0.299429,0.094286
0.912500,0.303429,0.077714
0.916667,0.297714,0.066857
0.920833,0.286286,0.062857
0.925000,0.274857,0.070286
0.929167,0.270857,0.082286
0.933333,0.278286,0.093143
0.937500,0.290286,0.094286
0.941667,0.302857,0.088000
0.945833,0.306286,0.077714
0.950000,0.301714,0.072571
0.954167,0.289714,0.075429
0.958333,0.279429,0.087429
0.962500,0.275429,0.102857
0.966667,0.277714,0.117714
0.970833,0.285143,0.130286
0.975000,0.296571,0.134857
0.979167,0.306857,0.132000
0.983333,0.310857,0.125714
0.987500,0.306857,0.120571
0.991667,0.297143,0.122857
0.995833,0.287429,0.132000
1.000000,0.281143,0.145143
1.004167,0.279429,0.160000
1.008333,0.288571,0.174286
1.012500,0.300000,0.179429
1.016667,0.310857,0.177143
1.020833,0.316000,0.168571
1.025000,0.313143,0.160571
1.029167,0.302857,0.160000
1.033333,0.292571,0.168000
1.037500,0.286857,0.178286
1.041667,0.285143,0.196000
1.045833,0.291429,0.206286
1.050000,0.302286,0.210857
1.054167,0.314286,0.209714
1.058333,0.320000,0.201143
1.062500,0.318857,0.192571
1.066667,0.310857,0.189143
1.070833,0.301714,0.192571
1.075000,0.291429,0.202857
1.079167,0.289143,0.214286
1.083333,0.293143,0.230286
1.087500,0.301714,0.237143
1.091667,0.313143,0.238286
1.095833,0.322286,0.233714
1.100000,0.325143,0.225143
1.104167,0.322286,0.219429
1.108333,0.312571,0.218857
1.112500,0.302857,0.225143
1.116667,0.296571,0.236571
1.120833,0.292571,0.251429
1.125000,0.296000,0.265714
1.129167,0.304000,0.276571
1.133333,0.313143,0.281143
1.137500,0.322857,0.281143
1.141667,0.328000,0.277143
1.145833,0.328571,0.270857
1.150000,0.324571,0.268571
1.154167,0.316000,0.269714
1.158333,0.306857,0.277714
1.162500,0.300571,0.288000
1.166667,0.298286,0.297714
1.170833,0.299429,0.314857
1.175000,0.305714,0.325714
1.179167,0.315429,0.332571
1.183333,0.324571,0.333714
1.187500,0.332000,0.330286
1.191667,0.334286,0.324571
1.195833,0.332571,0.319429
1.200000,0.325143,0.317714
1.204167,0.316000,0.322286
1.208333,0.308571,0.329714
1.212500,0.303429,0.342286
1.216667,0.301714,0.353143
1.220833,0.305143,0.367429
1.225000,0.310286,0.377714
1.229167,0.318286,0.384000
1.233333,0.326286,0.386286
1.237500,0.333714,0.384571
1.241667,0.337143,0.381143
1.245833,0.337143,0.377143
1.250000,0.333714,0.374857
1.254167,0.327429,0.374857
1.258333,0.319429,0.379429
1.262500,0.313143,0.386286
1.266667,0.307429,0.396571
1.270833,0.305714,0.408000
1.275000,0.306857,0.420000
1.279167,0.311429,0.430857
1.283333,0.317714,0.437714
1.287500,0.325143,0.441714
1.291667,0.333143,0.442857
1.295833,0.338857,0.440571
1.300000,0.341143,0.436000
1.304167,0.341143,0.433143
1.308333,0.337143,0.430857
1.312500,0.332571,0.430286
1.316667,0.324571,0.434286
1.320833,0.318286,0.440000
1.325000,0.313143,0.449143
1.329167,0.309143,0.459429
1.333333,0.308000,0.470286
1.337500,0.309714,0.481143
1.341667,0.313714,0.490286
1.345833,0.318857,0.497714
1.350000,0.324571,0.502286
1.354167,0.331429,0.504571
1.358333,0.337143,0.505143
1.362500,0.341143,0.502857
1.366667,0.343429,0.500000
1.370833,0.342857,0.497143
1.375000,0.340571,0.494286
1.379167,0.336571,0.493714
1.383333,0.330857,0.494857
1.387500,0.325143,0.497714
1.391667,0.319429,0.502857
1.395833,0.315429,0.509143
1.400000,0.311429,0.517143
1.404167,0.309143,0.525714
1.408333,0.309143,0.534857
1.412500,0.310286,0.543429
1.416667,0.313143,0.552000
1.420833,0.317714,0.558857
1.425000,0.322286,0.564000
1.429167,0.326857,0.567429
1.433333,0.332571,0.569143
1.437500,0.336571,0.569143
1.441667,0.340000,0.567429
1.445833,0.342286,0.565143
1.450000,0.342857,0.562857
1.454167,0.342286,0.560571
1.458333,0.340571,0.558857
1.462500,0.337714,0.557143
1.466667,0.333143,0.557143
1.470833,0.328571,0.558857
1.475000,0.324000,0.561143
1.479167,0.320000,0.565143
1.483333,0.316000,0.570286
1.487500,0.312571,0.575429
1.491667,0.309714,0.581143
1.495833,0.308000,0.588571
1.500000,0.306857,0.594286
1.504167,0.306857,0.601714
1.508333,0.306857,0.608000
1.512500,0.309143,0.613143
1.516667,0.310857,0.618857
1.520833,0.313143,0.623429
1.525000,0.316571,0.626857
1.529167,0.320000,0.629714
1.533333,0.324000,0.630857
1.537500,0.326857,0.632571
1.541667,0.329714,0.632571
1.545833,0.332000,0.632571
1.550000,0.333714,0.632000
1.554167,0.335429,0.632000
1.558333,0.336000,0.630857
1.562500,0.337143,0.630286
1.566667,0.337143,0.629143
